"date","age","domaine","connaissanceiascale","connaissezvousia","siouilesquelles","emotionstransmises","why","iareplaceartiste","whytwo"
"2023/01/27 11:44:33 AM UTC+1","18 - 25","Musique;Peinture / Dessin","1","Non","","Non","","Non",""
"2023/01/27 11:47:36 AM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature;Cinéma","6","Oui","Je ne connais pas le nom ms j ai entendu parler d  une expo de peinture faite par ia","Oui","Par l effet de surprise, ","Non","Je ne le souhaite pas mais peut être en fait... "
"2023/01/27 11:50:40 AM UTC+1","18 - 25","Musique;Peinture / Dessin;Littérature;Cinéma","4","Non","","Non","Les émotions sont une partie interne des êtres-vivants, une IA ne peut pas en avoir les capacités ou alors elles ne seront que fictives.","Non","A cause des émotions, de la pensée. L’art sert à exprimer quelque chose de profond."
"2023/01/27 11:53:03 AM UTC+1","40 - 49","Musique;Peinture / Dessin;Littérature","4","Non","","Non","Les émotions se ressentent ","Non","En raison de l’absence d’émotivité "
"2023/01/27 11:53:05 AM UTC+1","18 - 25","Musique;Littérature;Cinéma","5","Oui","Robot sculpteur ","Non","Que de la technique pas d’interprétation ","Non",""
"2023/01/27 11:56:39 AM UTC+1","40 - 49","Peinture / Dessin","5","Oui","Midjourney","Oui","Il faut réussir à restituer en mots ce que l’on veut représenter exactement ","Non","Pour le moment l’ia n’est pas capable d’émotions "
"2023/01/27 12:17:51 PM UTC+1","18 - 25","Musique","8","Oui","J’ai plus le nom mais c’est dans mes favs tiktok","Oui","/","Non","Dimension humaine"
"2023/01/27 12:19:54 PM UTC+1","18 - 25","Musique;Peinture / Dessin;Cinéma","7","Oui","IA ACSII","Oui","peut générer des choses auxquelles tu es sensible, qui sont inspirés de vrais artistes ","Non","pas de conscience humaine et même si c’est programmé par des humains une IA ça reste très bête "
"2023/01/27 12:34:16 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Cinéma","8","Oui","Composition de musiques, adapter un fond d’écran à une musique","Oui","Plus on avance, plus l’IA pense et agit comme l’homme","Oui","Même réponse que précédemment "
"2023/01/27 12:42:05 PM UTC+1","50 - 59","Musique;Peinture / Dessin;Cinéma","8","Oui","des musées  ont developpe des trucs intéressants pendant le confinement ","Oui","L ai peut transformer  un truc moche en truc joli ou un truc quelconque (une photo par ex) en super tableau avec le style d’un artiste , magnifique (développé par un de mes collègues data scientist)","Oui","Dupliquer, transformer: c’est gagné!"
